02 002,gates billbill gates,"53,0 miljardia",yhdysvallat,microsoft
03 003,buffett warrenwarren buffett,"47,0 miljardia",yhdysvallat,berkshire hathaway
04 004,ambani mukeshmukesh ambani,"29,0 miljardia",intia,reliance industries
05 005,mittal lakshmilakshmi mittal,"28,7 miljardia",intia,arcelor mittal
06 006,ellison larrylarry ellison,"28,0 miljardia",yhdysvallat,oracle corporation
07 007,arnault bernardbernard arnault,"27,5 miljardia",ranska,lvmh moët hennessy louis vuitton
08 008,batista eikeeike batista,"27,0 miljardia",brasilia,ebx group
09 009,ortega amancioamancio ortega,"25,0 miljardia",espanja,inditex group
010 0010,albrecht karlkarl albrecht,"23,5 miljardia",saksa,aldi süd
numero 4,henkilö 4,nettovarallisuus usd 4,kansalaisuus 4,omaisuuden lähde 4
