2 feature requests,4,feature discussion,bubikolramios 327,1 year ago
applay modification,1,general,bubikolramios 327,1 year ago
can't edit field grid,4,general,bubikolramios 327,2 years ago
can't unselect record,1,general,bubikolramios 327,3 years ago
cancel connection does work thing hangs,1,general,bubikolramios 327,1 year ago
crash due data,6,general,bubikolramios 327,7 months ago
data tab duplicate entry,0,feature discussion,bubikolramios 327,7 months ago
displaying text field contence non editable resultset,0,feature discussion,bubikolramios 327,6 months ago
does update,1,general,bubikolramios 327,1 year ago
duplicate entry,16,general,bubikolramios 327,2 years ago
editing field has default null allow null,0,general,bubikolramios 327,7 months ago
editing joined resultset,0,feature discussion,bubikolramios 327,2 years ago
export server,3,import export,bubikolramios 327,2 years ago
hsql alters procesure code,1,general,bubikolramios 327,2 years ago
highlight table procedure,4,general,bubikolramios 327,2 years ago
icon index key data view column header,1,feature discussion,bubikolramios 327,1 year ago
import sql,4,general,bubikolramios 327,3 years ago
import csv,5,feature discussion,bubikolramios 327,3 years ago
import csv encoding,2,import export,bubikolramios 327,3 years ago
importing csv,1,import export,bubikolramios 327,3 weeks ago
tree window,0,feature discussion,bubikolramios 327,7 months ago
mayor problem reverted prev versions,12,general,bubikolramios 327,1 year ago
pasting text query window,5,general,bubikolramios 327,7 months ago
possible values dropdown autofill,2,feature discussion,bubikolramios 327,1 year ago
procedure window streatchable,1,general,bubikolramios 327,2 years ago
replace grid,0,feature discussion,bubikolramios 327,1 year ago
show create,1,general,bubikolramios 327,7 months ago
show all,1,feature discussion,bubikolramios 327,7 months ago
timestamp duplicate row,3,general,bubikolramios 327,7 months ago
topic,replies,category,author,date
trigger create code,0,general,bubikolramios 327,3 years ago
unable save any proc function,1,general,bubikolramios 327,3 years ago
bug,2,general,bubikolramios 327,1 year ago
add column autoinc,1,general,bubikolramios 327,2 years ago
adding parameter proc,2,feature discussion,bubikolramios 327,2 years ago
applay filter back button feature,1,feature discussion,bubikolramios 327,1 year ago
auto save query tab,2,feature discussion,bubikolramios 327,2 years ago
bookmark,0,general,bubikolramios 327,2 years ago
bug,18,general,bubikolramios 327,2 years ago
bug replace,0,general,bubikolramios 327,1 year ago
can't see temporary table list hirearchical structure left,4,general,bubikolramios 327,2 years ago
code completion does work,0,general,bubikolramios 327,2 years ago
copy proc,2,general,bubikolramios 327,2 years ago
copy procedure,7,general,bubikolramios 327,2 years ago
crash,0,general,bubikolramios 327,2 years ago
create copy table,13,general,bubikolramios 327,2 years ago
create new trigger defaults,5,feature discussion,bubikolramios 327,7 months ago
csv import,0,import export,bubikolramios 327,3 years ago
data tab,3,general,bubikolramios 327,3 years ago
data tab auto refresh,1,general,bubikolramios 327,2 years ago
data view refresh,1,feature discussion,bubikolramios 327,2 years ago
default null,3,general,bubikolramios 327,3 years ago
duplicate row,7,general,bubikolramios 327,4 months ago
encoding,0,general,bubikolramios 327,3 years ago
error,2,general,bubikolramios 327,2 years ago
export,0,general,bubikolramios 327,3 years ago
export grid rows clipboard bug,3,general,bubikolramios 327,1 year ago
export view,2,general,bubikolramios 327,7 months ago
favourites,0,feature discussion,bubikolramios 327,6 months ago
feature request lengthy queries progress indicator,0,feature discussion,bubikolramios 327,1 year ago
filter distinct,7,feature discussion,bubikolramios 327,2 years ago
grid editing error like col 0 has undefined origin,2,general,bubikolramios 327,2 years ago
grid search replace,2,feature discussion,bubikolramios 327,4 months ago
hypen,10,general,bubikolramios 327,2 years ago
import csv,2,import export,bubikolramios 327,2 years ago
import csv truncate destination table before import,4,import export,bubikolramios 327,2 years ago
import text file dialog,12,feature discussion,bubikolramios 327,3 years ago
lenghty query big master detail running,0,general,bubikolramios 327,3 years ago
minor bug,7,general,bubikolramios 327,2 years ago
multiple cell paste,8,feature discussion,bubikolramios 327,7 months ago
multiple sqls,3,general,bubikolramios 327,3 years ago
movable window,4,feature discussion,bubikolramios 327,2 years ago
responding,0,general,bubikolramios 327,1 year ago
order databse window,3,feature discussion,bubikolramios 327,3 years ago
primary key,2,general,bubikolramios 327,2 years ago
proc check failure save,4,general,bubikolramios 327,2 years ago
procedure parameters tabs,5,feature discussion,bubikolramios 327,1 year ago
query editor,0,general,bubikolramios 327,2 years ago
query window,2,general,bubikolramios 327,2 years ago
redo,4,feature discussion,bubikolramios 327,1 year ago
repeatable bug,1,general,bubikolramios 327,1 year ago
repeatable crash,0,general,bubikolramios 327,7 months ago
repeatable crash,1,general,bubikolramios 327,2 years ago
search text inside all procedures,1,general,bubikolramios 327,2 years ago
search find text server,0,feature discussion,bubikolramios 327,1 year ago
select columns import,3,import export,bubikolramios 327,2 years ago
sesion background color,12,general,bubikolramios 327,2 years ago
session manager,0,general,bubikolramios 327,3 years ago
sort,2,general,bubikolramios 327,1 year ago
stored proc problem,2,general,bubikolramios 327,2 years ago
strange font query resultset,6,general,bubikolramios 327,3 years ago
suggestion,0,feature discussion,bubikolramios 327,1 year ago
table data tab,6,feature discussion,bubikolramios 327,3 years ago
table displayed tree part hsql,5,general,bubikolramios 327,1 year ago
timestamp,3,general,bubikolramios 327,12 months ago
tools import csv file,1,feature discussion,bubikolramios 327,7 months ago
two data tabs,2,general,bubikolramios 327,2 years ago
update field which results from joined query,12,feature discussion,bubikolramios 327,6 months ago
update ignore autocomplete,1,general,bubikolramios 327,2 years ago
you have error syntax,5,general,bubikolramios 327,3 years ago
