1,harry potter order phoenix,"12,281,906",20,"4,285",0,"2,866","197,851,789",2,warner bros
10,knocked up,"946,637",31,"1,288",422,735,"142,076,796",8,universal
2,i now pronounce you chuck larry,"11,848,350",6,"3,495",None,"3,390","24,448,183",1,universal
3,hairspray 2007,"9,323,977",15,"3,121",None,"2,987","20,308,437",1,new line
4,transformers,"8,026,595",32,"3,762",288,"2,134","256,588,456",3,paramount dreamworks
5,ratatouille,"4,202,519",20,"3,402",223,"1,235","162,338,558",4,disney
6,live free die hard,"2,878,186",32,"2,727",474,"1,055","114,220,206",4,fox
7,license wed,"1,557,447",35,"2,525",190,617,"37,633,512",3,warner bros
8,1408,"1,039,416",23,"1,451",755,716,"66,717,084",5,mgm weinstein
9,evan almighty,"1,005,302",20,"1,779",918,565,"92,854,637",5,universal
