copenhagen denmark,thu 9 oct wed 15 oct,09 55 17 20,,12 45 20 10,0 0,vueling.com,118.69 2 days ago,details,see flight
copenhagen denmark,sat 11 oct wed 15 oct,09 55 17 20,,12 45 20 10,0 0,vueling.com,126.61 2 days ago,details,see flight
copenhagen denmark,thu 9 oct sun 12 oct,09 00 21 05,,19 50 08 20,1 1,tripsta.co.uk swiss,127.38 2 days ago,details,see flight
copenhagen denmark,tue 7 oct wed 15 oct,09 55 17 20,,12 45 20 10,0 0,vueling.com,134.52 2 days ago,details,see flight
copenhagen denmark,wed 8 oct wed 15 oct,13 50 17 20,,16 40 20 10,0 0,vueling.com,134.52 2 days ago,details,see flight
copenhagen denmark,thu 9 oct wed 15 oct,13 50 17 20,,16 40 20 10,0 0,vueling.com,134.52 2 days ago,details,see flight
copenhagen denmark,wed 8 oct wed 15 oct,09 55 13 25,,12 45 16 15,0 0,vueling.com,138.48 2 days ago,details,see flight
copenhagen denmark,thu 9 oct wed 15 oct,09 55 13 25,,12 45 16 15,0 0,vueling.com,138.48 2 days ago,details,see flight
destination,date,depart,,arrive,stops,website,price per person,None,None
fuerteventura spain,tue 16 sep sat 20 sep,12 40 09 40,,15 05 13 55,0 0,ryanair.com,64.16 2 hours ago,details,see flight
fuerteventura spain,fri 19 sep mon 22 sep,06 45 18 55,,09 05 22 50,0 0,vueling.com,98.96 2 hours ago,details,see flight
fuerteventura spain,wed 17 sep mon 22 sep,12 05 18 55,,14 25 22 50,0 0,vueling.com,106.88 2 hours ago,details,see flight
fuerteventura spain,tue 16 sep sat 20 sep,12 40 18 35,,15 05 08 50,0 1,logitravel.co.uk,109.32 2 hours ago,details,see flight
fuerteventura spain,tue 16 sep sat 20 sep,12 40 18 35,,15 05 16 25,0 1,logitravel.co.uk,114.43 2 hours ago,details,see flight
fuerteventura spain,mon 15 sep sat 20 sep,20 35 09 40,,10 50 13 55,1 0,logitravel.co.uk,119.94 2 hours ago,details,see flight
fuerteventura spain,mon 15 sep sat 20 sep,16 05 09 40,,18 20 13 55,0 0,cheapoair.co.uk,121.71 2 hours ago,details,see flight
fuerteventura spain,wed 17 sep fri 19 sep,12 05 09 50,,14 25 13 45,0 0,vueling.com,122.71 2 hours ago,details,see flight
fuerteventura spain,mon 15 sep mon 22 sep,16 05 18 55,,18 20 22 50,0 0,vueling.com,122.71 2 hours ago,details,see flight
fuerteventura spain,tue 16 sep sat 20 sep,16 15 09 40,,15 20 13 55,1 0,logitravel.co.uk,123.74 2 hours ago,details,see flight
fuerteventura spain,mon 15 sep sat 20 sep,12 15 09 40,,10 50 13 55,1 0,logitravel.co.uk,124.64 2 hours ago,details,see flight
london united kingdom,thu 30 oct sun 2 nov,06 20 08 15,,07 50 11 25,0 0,ryanair.com,41.83 26 hours ago,details,see flight
london united kingdom,thu 30 oct sun 2 nov,06 20 12 45,,07 50 15 55,0 0,ryanair.com,46.60 26 hours ago,details,see flight
london united kingdom,thu 30 oct sun 2 nov,06 20 16 20,,07 50 19 30,0 0,ryanair.com,51.38 26 hours ago,details,see flight
london united kingdom,thu 30 oct sun 2 nov,06 20 10 50,,07 50 14 00,0 0,cheapoair.co.uk,52.75 26 hours ago,details,see flight
london united kingdom,thu 30 oct sun 2 nov,06 20 06 50,,07 50 10 00,0 0,cheapoair.co.uk,56.17 26 hours ago,details,see flight
london united kingdom,thu 30 oct sun 2 nov,06 20 08 50,,07 50 11 55,0 0,cheapoair.co.uk,64.70 26 hours ago,details,see flight
london united kingdom,thu 30 oct sun 2 nov,06 20 17 30,,07 50 20 30,0 0,logitravel.co.uk,67.18 26 hours ago,details,see flight
london united kingdom,tue 28 oct mon 3 nov,07 00 08 50,,08 10 11 55,0 0,vueling.com,67.23 26 hours ago,details,see flight
london united kingdom,mon 27 oct mon 3 nov,07 00 08 50,,08 10 11 55,0 0,vueling.com,67.23 26 hours ago,details,see flight
london united kingdom,wed 29 oct mon 3 nov,07 00 08 50,,08 10 11 55,0 0,vueling.com,67.23 26 hours ago,details,see flight
london united kingdom,thu 30 oct sun 2 nov,10 50 10 50,,12 20 14 00,0 0,cheapoair.co.uk,69.36 26 hours ago,details,see flight
london united kingdom,thu 30 oct sun 2 nov,18 40 10 50,,20 10 14 00,0 0,cheapoair.co.uk,69.36 26 hours ago,details,see flight
