2,jeandukejeanduke,28,51,51,29,32,39,657,51
25,imh5004imh5004,35,48,52,29,45,45,730,48
25,madratter1madratter1,34,48,45,26,40,30,608,48
25,salmonslayerspanther40010,33,48,47,34,49,38,696,48
25,goodgreen509goodgreen509,32,48,50,32,43,43,701,48
25,chowdahedzsmith todd,32,48,43,32,45,25,649,48
25,flash1262flash1262,31,48,43,36,46,36,710,48
25,i know nothing hockeythe_rage_machine,31,48,45,24,30,32,651,48
25,jesse de boerjesse de boer,31,48,38,38,41,36,642,48
25,gosidthekid87hxckyle1,31,48,59,28,45,41,745,48
25,psteelers3psteelers3,30,48,52,34,40,24,575,48
25,meesema moonpiesmeeselet,29,48,49,30,39,32,670,48
25,johndblackjrjohndblackjr,29,48,42,27,34,35,548,48
25,3rd puck from sundin3rd puck from sundin,29,48,45,28,44,46,703,48
25,chambersburg infernobszeroue18,29,48,42,34,44,34,638,48
25,mindpanicmindpanic,28,48,44,31,43,37,678,48
25,lord stanley pghhildy1974601,28,48,48,35,47,35,646,48
25,v manpoll111,28,48,57,30,46,43,714,48
25,weller176weller176,28,48,43,35,36,36,637,48
25,ukyporkchopukyporkchop,28,48,47,31,33,41,649,48
25,billybill8billybill8,27,48,53,37,40,35,719,48
25,ericlunchboxxxx,27,48,48,29,48,46,672,48
25,go griffenscraigamass,27,48,42,20,40,34,652,48
25,kendallk11kendallk11,27,48,38,19,24,23,508,48
25,batrcks89batrcks89,27,48,47,27,38,44,597,48
25,gbiggygbiggy,26,48,54,33,49,43,745,48
25,kid from sydthe kid from syd,26,48,40,21,27,38,633,48
25,sparky's puckssparky7658,26,48,50,30,42,39,698,48
25,krupski11krupski11,26,48,55,28,41,52,687,48
25,bmorerush23bmorerush23,26,48,43,34,47,32,616,48
25,bulls9196bulls9196,25,48,45,39,45,40,715,48
25,nunith08nunith08,25,48,53,31,35,45,693,48
25,gmoneyballbatdorfrodney,25,48,54,32,34,38,687,48
25,lets go pensbk41bk41bk41,24,48,48,34,33,47,624,48
25,dngbizzdngbizz,22,48,49,30,34,37,624,48
25,summer montereyrichardcoreno,18,48,44,24,37,35,663,48
3,myobjo628myobjo628,29,50,49,34,49,39,665,50
3,hokkeyrs61957,27,50,50,36,40,21,602,50
3,floresfonsecafloresfonseca,25,50,45,28,47,37,697,50
3,kire18kire18,25,50,48,33,46,35,657,50
60,letgo rangervega55dv,38,47,41,32,40,18,642,47
60,carter's pucksjlcarter78,37,47,32,28,46,38,636,47
60,andreasanasandreasanas,36,47,48,38,40,42,699,47
60,colek58colek58,36,47,50,33,49,33,682,47
60,slip sliding awaymanney33,36,47,44,27,50,42,662,47
60,poochie50poochie50,35,47,45,31,45,39,705,47
60,b's backkenny gerald32,35,47,45,29,46,31,656,47
