sk planet starcraft proleague,skt t1,,stars,2 years 9 weeks ago
sk planet starcraft proleague,skt t1,,stars,2 years 23 weeks ago
sk planet starcraft proleague,stars,,skt t1,2 years 29 weeks ago
sk planet starcraft proleague,skt t1,,stars,2 years 33 weeks ago
shinhan bank proleague 2010 11,skt t1,,stars,3 years 8 weeks ago
shinhan bank proleague 2010 11,stars,,skt t1,3 years 12 weeks ago
shinhan bank proleague 2010 11,stars,,skt t1,3 years 21 weeks ago
shinhan bank proleague 2010 11,skt t1,,stars,3 years 27 weeks ago
shinhan bank proleague 2010 11,skt t1,,stars,3 years 33 weeks ago
shinhan bank proleague 2010 11,stars,,skt t1,3 years 40 weeks ago
