birthday d other stuff,18 55 dec 11 2013,1,389,None
daily ladder age 10 confused gateway expo,20 59 may 18 2013,7,996,None
daily ladder age 11 failing drop denial,21 18 may 19 2013,7,923,None
daily ladder age 12 new overlay,22 22 may 20 2013,0,834,None
daily ladder age 13 zealot harrasin,22 41 may 21 2013,1,687,None
daily ladder age 14 theorizing proxy tempest,18 58 may 22 2013,8,1259,None
daily ladder age 15 how handle 4 gate,22 26 may 23 2013,0,662,None
daily ladder age 16 proxy tempest last,19 21 may 24 2013,10,1713,None
daily ladder age 17 harass counts,22 34 may 25 2013,0,626,None
daily ladder age 18 mass carrier,23 01 may 26 2013,3,1040,None
daily ladder age 19 poll my next daily,21 29 may 27 2013,5,486,None
daily ladder age 20 templar drops,22 45 may 28 2013,3,873,None
daily ladder age 21 lazy,20 03 may 29 2013,2,452,None
daily ladder age 22 band concert,21 59 may 30 2013,2,401,None
daily ladder age 23 early pool busting,21 50 may 31 2013,0,852,None
daily ladder age 24 game xzar,22 35 jun 01 2013,0,819,None
daily ladder age 25 fail ff fail all,21 00 jun 02 2013,4,951,None
daily ladder age 26 actually laddering,21 29 jun 03 2013,4,525,None
daily ladder age 27 mismicro lag,19 39 jun 04 2013,4,629,None
daily ladder age 28 urrrrgh swarmhosts,20 12 jun 05 2013,2,952,None
daily ladder age 29 mohr skytoss,21 19 jun 06 2013,1,885,None
daily ladder age 2 base race,21 51 may 10 2013,3,727,None
daily ladder age 30 hating pvt again,19 25 jun 07 2013,5,627,None
daily ladder age 31 dt expand,20 51 jun 08 2013,3,597,None
daily ladder age 32 yeaaaaaaaah zerglings,20 39 jun 09 2013,2,699,None
daily ladder age 33 dts vs pressure,19 36 jun 10 2013,3,504,None
daily ladder age 34 roaches rushing,19 53 jun 11 2013,1,501,None
daily ladder age 35 pvz macro game carriers,20 33 jun 12 2013,9,942,None
daily ladder age 36 oracle expand theorizin,20 59 jun 13 2013,1,559,None
daily ladder age 37 just replay,19 58 jun 14 2013,2,533,None
daily ladder age 38 more refined pvz build,20 52 jun 15 2013,10,808,None
daily ladder age 39 never giveup never surrender,22 18 jun 16 2013,2,544,None
daily ladder age 3 crawler wall,15 11 may 11 2013,2,594,None
daily ladder age 40 never giveup surrender pt 2,21 34 jun 17 2013,2,921,None
daily ladder age 41 phalanx returns,20 10 jun 23 2013,2,383,None
daily ladder age 42 pvt unoriginality,21 30 jun 24 2013,6,739,None
daily ladder age 43 dt dt action,19 33 jun 25 2013,1,545,None
daily ladder age 4 standard ol pvt,22 00 may 12 2013,7,1024,None
daily ladder age 5 underestimation,21 09 may 13 2013,1,640,None
daily ladder age 6 ultra rollin,20 43 may 14 2013,3,927,None
daily ladder age 7 pvp 1 1 1,16 15 may 15 2013,4,891,None
daily ladder age 8 phoenix drop denial,21 54 may 16 2013,4,806,None
daily ladder age 9 double write up,21 51 may 17 2013,7,962,None
