3d loading,analog audio output loading,aspect ratio loading,backlighting type loading,coaxial digital audio output loading,component video inputs loading,composite video inputs loading,condition,connections,depth stand inches loading,depth without stand inches loading,dimensions mounting information,display,estimated yearly electricity use energyguide loading,estimated yearly energy cost energyguide loading,ethernet port loading,features,hdmi inputs loading,height stand inches loading,height without stand inches loading,instant internet movie streaming loading,labor warranty loading,mhl compatible loading,optical digital audio output loading,pc input loading,parts warranty loading,pedestal stand loading,picture picture loading,power consumption,product features hide similar features,rf inputs loading,samsung un32f6300 vs lg 42ln5300,screen design loading,screen refresh rate loading,screen resolution pixels loading,screen size loading,stand width inches loading,total video inputs loading,type warranty service loading,usb port loading,wall bracket included loading,wall mountable loading,weight stand loading,weight without stand loading,wi fi loading,width inches loading,None,None,None,None
,1 rear,16 9,led edge lit,none,1,0,new stock,samsung un32f6300,10 1 2,2 3 4,samsung un32f6300,samsung un32f6300,68 kwh,7,yes,samsung un32f6300,4,20 1 4,17 3 8,netflix hulu vudu amazon youtu,1 year,,1 rear,,1 year,assembly required,yes,samsung un32f6300,None,1,None,flat,120 hz,1920 x 1080,31.5,22,5,carry,yes,,yes,13.7 lbs,11.2 lbs,yes,29 1 4,None,owner's manual,hands research,remove samsung un32f6300 599.99 add cart
,none,16 9,led direct lit,none,1,0,new stock,lg 42ln5300,9 1 4,3 1 2,lg 42ln5300,lg 42ln5300,79 kwh,9,,lg 42ln5300,2,24 3 4,22 3 4,,1 year,yes,1 rear,,1 year,assembly required,,lg 42ln5300,None,1,None,flat,60hz,1920 x 1080,41.9,18 1 2,3,home,yes,,yes,23.5 lbs,21.1 lbs,,38 1 8,None,owner's manual,hands research,remove lg 42ln5300 stock 379.99 add cart
