1,mission impossible iii,"1,875,972",74,"4,059",5,462,"86,977,524",2,paramount
10,akeelah bee,"170,789",82,"1,176",1019,145,"14,180,108",3,lionsgate
2,poseidon,"1,564,231",76,"3,555",None,440,"23,721,958",1,warner bros
3,rv,"516,923",86,"3,536",115,146,"43,786,504",3,sony columbia
4,just my luck,"359,393",75,"2,541",None,141,"6,051,604",1,fox
5,united 93,"337,667",67,"1,871",52,180,"25,892,621",3,universal
6,american haunting,"326,450",64,"1,703",28,192,"11,144,211",2,freestyle
7,silent hill,"226,231",60,"1,888",668,120,"44,714,775",4,sony columbia
8,ice age meltdown,"192,570",84,"1,879",547,102,"187,762,547",7,fox
9,stick,"183,934",74,"2,009",35,92,"22,329,712",3,disney
