alcorcón,4,1,0,0,3,0,1,75 25,view matches
almería,7,2,1,0,4,1,2,57 14 29,view matches
arsenal,5,0,0,0,1,4,0,20 80,view matches
arteixo,2,1,0,0,2,0,0,100,view matches
aston villa,4,1,0,0,2,2,0,50 50,view matches
athletic de bilbao,8,4,0,0,6,0,2,75 25,view matches
atlético de madrid,14,7,0,1,11,1,2,79 7 14,view matches
atlético de madrid b,4,2,0,0,1,1,2,25 25 50,view matches
barcelona,16,9,0,0,5,6,5,31 38 31,view matches
bayern munich,2,1,0,0,1,0,1,50 50,view matches
betis,5,1,0,0,2,2,1,40 40 20,view matches
birmingham,1,0,0,0,0,1,0,0 100,view matches
blackburn rovers,3,1,0,0,3,0,0,100,view matches
bolton wanderers,2,0,0,0,2,0,0,100,view matches
borussia dortmund,1,0,0,0,0,1,0,0 100,view matches
burgos,1,0,0,0,1,0,0,100,view matches
casetas,1,0,0,0,1,0,0,100,view matches
castellón,1,1,0,0,0,0,1,0 100,view matches
castillo,2,0,0,0,1,1,0,50 50,view matches
celta de vigo,4,1,0,0,1,0,3,25 75,view matches
celta de vigo b,1,0,0,0,0,1,0,0 100,view matches
charlton athletic,1,0,0,0,0,1,0,0 100,view matches
chelsea,3,2,0,0,2,1,0,67 33,view matches
ciudad de murcia,2,1,0,0,0,0,2,0 100,view matches
compostela,2,0,0,0,1,0,1,50 50,view matches
conquense,3,1,0,0,2,0,1,67 33,view matches
deportivo de la coruña,3,0,0,0,3,0,0,100,view matches
derby county,1,0,0,0,1,0,0,100,view matches
eibar,1,1,0,0,1,0,0,100,view matches
ejido,2,2,0,0,2,0,0,100,view matches
elche,3,1,0,0,3,0,0,100,view matches
espanyol,12,0,0,0,10,2,0,83 17,view matches
everton,1,1,0,0,1,0,0,100,view matches
ferrol,2,1,0,0,1,1,0,50 50,view matches
fuenlabrada,1,0,0,0,0,0,1,0 100,view matches
fuerteventura,1,1,0,0,1,0,0,100,view matches
fulham,4,1,0,0,2,1,1,50 25 25,view matches
getafe,9,1,1,0,7,0,2,78 22,view matches
gimnàstic de tarragona,5,1,0,0,3,1,1,60 20 20,view matches
granada,3,1,0,0,2,0,1,67 33,view matches
hull city,2,1,0,0,1,1,0,50 50,view matches
hércules,3,0,0,0,3,0,0,100,view matches
juventus,1,0,0,0,1,0,0,100,view matches
lanzarote,3,2,0,0,2,1,0,67 33,view matches
las palmas,2,2,1,0,0,0,2,0 100,view matches
leganés,2,0,0,0,2,0,0,100,view matches
leonesa,1,0,0,0,1,0,0,100,view matches
levante,9,3,0,0,4,2,3,44 22 34,view matches
lleida,1,0,0,0,0,1,0,0 100,view matches
lorca deportiva,1,1,0,0,0,0,1,0 100,view matches
mallorca,9,1,0,0,7,2,0,78 22,view matches
mallorca b,2,1,0,0,1,1,0,50 50,view matches
manchester city,6,2,1,0,2,4,0,33 67,view matches
manchester united,5,2,0,0,2,1,2,40 20 40,view matches
middlesbrough,4,1,0,0,3,1,0,75 25,view matches
milan,2,1,0,0,1,1,0,50 50,view matches
mirandés,2,0,0,0,1,1,0,50 50,view matches
murcia,4,2,1,0,2,2,0,50 50,view matches
málaga,6,3,1,0,5,0,1,83 17,view matches
málaga b,2,0,0,0,2,0,0,100,view matches
navalcarnero,2,1,0,0,2,0,0,100,view matches
newcastle,4,0,0,0,3,0,1,75 25,view matches
numancia,1,1,0,0,0,1,0,0 100,view matches
olímpic,2,0,0,0,1,1,0,50 50,view matches
osasuna,10,2,0,0,6,2,2,60 20 20,view matches
ourense,4,1,0,0,2,1,1,50 25 25,view matches
ponferradina,1,0,0,0,1,0,0,100,view matches
portsmouth,5,1,0,0,3,1,1,60 20 20,view matches
pájara playas,1,0,0,0,1,0,0,100,view matches
rsd alcalá,1,0,0,0,0,1,0,0 100,view matches
racing de santander,5,2,0,0,3,2,0,60 40,view matches
rayo majadahonda,1,0,0,0,1,0,0,100,view matches
rayo vallecano,5,1,0,0,4,1,0,80 20,view matches
reading,3,0,0,1,2,0,1,67 33,view matches
real madrid,1,0,0,0,1,0,0,100,view matches
real sociedad,7,2,0,0,6,1,0,86 14,view matches
recreativo de huelva,3,2,0,0,0,1,2,0 33 67,view matches
rival,matches,None,None,goals,wins,draws,losses,,None
san sebastián de los reyes,3,2,1,0,2,1,0,67 33,view matches
sevilla,11,5,0,0,9,0,2,82 18,view matches
sporting de gijón,6,0,0,0,3,2,1,50 33 17,view matches
stoke city,1,0,0,0,0,1,0,0 100,view matches
sunderland,2,2,0,0,2,0,0,100,view matches
talavera,2,0,0,0,1,1,0,50 50,view matches
tenerife,3,1,0,0,2,0,1,67 33,view matches
toledo,1,1,0,0,0,0,1,0 100,view matches
tomelloso,1,0,0,0,0,0,1,0 100,view matches
tottenham,4,0,0,0,2,1,1,50 25 25,view matches
universidad las palmas,1,0,0,0,1,0,0,100,view matches
valencia,10,5,0,0,6,3,1,60 30 10,view matches
valladolid,5,3,0,0,2,1,2,40 20 40,view matches
vecindario,1,0,0,0,1,0,0,100,view matches
villarreal,6,1,0,0,5,1,0,83 17,view matches
west bromwich,2,1,0,1,2,0,0,100,view matches
west ham,3,0,0,0,2,1,0,67 33,view matches
wigan,5,0,0,0,3,2,0,60 40,view matches
xerez,3,2,0,1,2,0,1,67 33,view matches
zamora,2,1,0,0,1,0,1,50 50,view matches
zaragoza,7,4,0,0,5,2,0,71 29,view matches
zaragoza b,3,0,0,1,2,1,0,67 33,view matches
