amit mishra,dc dd srh,76,95,5 17,20.25,6.93,17.5,2,1
dale steyn,dc rcb srh,69,78,3 8,21.64,6.34,20.4,0,0
dwayne bravo,csk mi,73,79,4 42,23.22,8.05,17.3,1,0
harbhajan singh,mi,82,78,5 18,24.67,6.76,21.8,1,1
lasith malinga,mi,73,103,5 13,17.95,6.54,16.4,2,1
name,team s,mat,wkts,bbi,ave,econ,sr,4 fers,5 fers
piyush chawla,kxip,87,84,4 17,26.63,7.52,21.2,1,0
pragyan ojha,dc mi,79,85,3 11,22.69,7.18,18.9,0,0
rp singh,dc ktk mi rcb,78,87,4 22,25.59,7.84,19.5,2,0
vinay kumar,ktk rcb,77,84,4 40,25.67,8.22,18.7,1,0
